1.19, 58, 0.04209280014038086, 0.0, 1000.0, 0, 42000.0
 
1.20, 64, 0.046011924743652344, 1600.0, 2000.0, 0, 46256.0
 
1.21, 64, 0.046011924743652344, 1600.0, 1300.0, 0, 36088.0
 
1.22, 64, 0.046011924743652344, 0.0, 1000.0, 0, 26728.0
 
1.24, 64, 0.046011924743652344, 0.0, 1000.0, 0, 17368.0
 
1.25, 64, 0.046011924743652344, 0.0, 1100.0, 0, 7136.0
 
1.26, 64, 0.046011924743652344, 0.0, 1100.0, 0, 64.0
 
1.27, 122, 0.07622885704040527, 0.0, 1100.0, 0, 49000.0
 
1.28, 128, 0.08120274543762207, 11600.0, 12100.0, 48, 61320.0
 
1.29, 128, 0.08120274543762207, 1200.0, 2000.0, 0, 52152.0
 
1.30, 128, 0.08120274543762207, 0.0, 1200.0, 0, 42792.0
 
1.31, 128, 0.08120274543762207, 0.0, 1100.0, 0, 34368.0
 
1.32, 128, 0.08120274543762207, 0.0, 1000.0, 0, 24008.0
 
1.33, 128, 0.08120274543762207, 0.0, 1100.0, 0, 14712.0
 
1.35, 128, 0.08120274543762207, 0.0, 1000.0, 0, 4096.0
 
1.36, 132, 0.09527397155761719, 0.0, 1100.0, 0, 5192.0
 
1.37, 202, 0.09837889671325684, 6000.0, 6600.0, 48, 64000.0
 
1.38, 101.04949524839762, 0.09837889671325684, 8800.0, 9700.0, 26, 52640.0
 
1.39, 101.04949524839762, 0.09837889671325684, 0.0, 1200.0, 0, 41280.0
 
1.40, 101.04949524839762, 0.09837889671325684, 0.0, 1200.0, 0, 29112.0
 
1.42, 101.04949524839762, 0.09837889671325684, 0.0, 1300.0, 0, 16944.0
 
1.43, 101.04949524839762, 0.09837889671325684, 0.0, 1100.0, 0, 5904.0
 
1.44, 101.04949524839762, 0.09837889671325684, 0.0, 1200.0, 0, 192.0
 
1.45, 101.75955725432571, 0.09837889671325684, 0.0, 800.0, 0, 0.0
 
1.46, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.47, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.49, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.50, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.51, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.52, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.53, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.55, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.56, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.57, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.58, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.59, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.61, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.62, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.63, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.64, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.65, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.66, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.68, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.69, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.70, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.71, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.72, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.73, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.75, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.76, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.77, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.78, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.79, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.80, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.81, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.83, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.84, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.85, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.86, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.87, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.88, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.90, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.91, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.92, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.93, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.94, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.95, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.96, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.98, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
1.99, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.00, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.01, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.02, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.03, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.05, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.06, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.07, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.08, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.09, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.11, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.12, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.13, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.14, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.15, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.17, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.18, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.19, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.20, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.21, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.22, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.24, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.25, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.26, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.27, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.28, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.30, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.31, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.32, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.33, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.35, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.36, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.37, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.38, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.39, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.40, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.41, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.42, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.44, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.45, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.46, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.47, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.49, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.50, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.51, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.52, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.53, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.54, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.56, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.57, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.58, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.59, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.60, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.62, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.63, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.64, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.65, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.67, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.68, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.69, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.70, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.71, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.73, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.74, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.75, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.76, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.77, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.78, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.80, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.81, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.82, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.83, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.84, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.85, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.86, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.88, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.89, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.90, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.91, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.92, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.93, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
